qp	pos	id	rep	trayid	row	col	indpop	water	FT.q	FT.date	FT.dif
103	d3	9534	3	31_i_l	d	3	i	l	1	2016-03-01	131
103	d4	9564	3	31_i_l	d	4	i	l	1	2016-03-28	158
103	d5	9771	3	31_i_l	d	5	i	l	1	2016-03-21	151
103	d6	6097	3	31_i_l	d	6	i	l	0	NA	NA
103	d7	9645	3	31_i_l	d	7	i	l	1	2016-03-10	140
103	d8	9115	3	31_i_l	d	8	i	l	1	2016-03-31	161
103	e2	7207	3	31_i_l	e	2	i	l	1	2016-03-31	161
103	e3	9743	3	31_i_l	e	3	i	l	1	2016-03-25	155
103	e4	9775	3	31_i_l	e	4	i	l	0	NA	NA
103	e5	5165	3	31_i_l	e	5	i	l	0	NA	NA
103	e6	6915	3	31_i_l	e	6	i	l	0	NA	NA
103	e7	9601	3	31_i_l	e	7	i	l	0	NA	NA
104	a2	9556	3	32_i_l	a	2	i	l	1	2016-02-29	130
104	a3	6244	3	32_i_l	a	3	i	l	1	2016-03-08	138
104	a4	915	3	32_i_l	a	4	i	l	1	2016-03-02	132
104	a5	6169	3	32_i_l	a	5	i	l	0	NA	NA
104	a6	9637	3	32_i_l	a	6	i	l	1	2016-02-26	127
104	a7	159	3	32_i_l	a	7	i	l	0	NA	NA
104	b1	9898	3	32_i_l	b	1	i	l	0	NA	NA
104	b2	9726	3	32_i_l	b	2	i	l	1	2016-02-29	130
104	b3	6112	3	32_i_l	b	3	i	l	1	2016-03-29	159
104	b4	8236	3	32_i_l	b	4	i	l	1	2016-03-30	160
104	b5	4958	3	32_i_l	b	5	i	l	0	NA	NA
104	b6	9705	3	32_i_l	b	6	i	l	1	2016-03-08	138
104	b7	9660	3	32_i_l	b	7	i	l	1	2016-02-11	112
104	b8	9573	3	32_i_l	b	8	i	l	1	2016-02-22	123
104	c1	9536	3	32_i_l	c	1	i	l	1	2016-03-14	144
104	c2	6128	3	32_i_l	c	2	i	l	0	NA	NA
104	c3	6218	3	32_i_l	c	3	i	l	1	2016-04-15	176
104	c4	7273	3	32_i_l	c	4	i	l	1	2016-03-10	140
104	c5	8337	3	32_i_l	c	5	i	l	1	2016-03-10	140
104	c6	6177	3	32_i_l	c	6	i	l	0	NA	NA
104	c7	6107	3	32_i_l	c	7	i	l	1	2016-03-10	140
104	c8	9697	3	32_i_l	c	8	i	l	1	2016-03-08	138
104	d1	6134	3	32_i_l	d	1	i	l	1	2016-03-14	144
104	d2	7416	3	32_i_l	d	2	i	l	1	2016-03-31	161
104	d3	9657	3	32_i_l	d	3	i	l	1	2016-02-10	111
104	d4	7287	3	32_i_l	d	4	i	l	1	2016-03-16	146
104	d5	6008	3	32_i_l	d	5	i	l	1	2016-03-10	140
104	d6	9855	3	32_i_l	d	6	i	l	1	2016-02-22	123
104	d7	7316	3	32_i_l	d	7	i	l	0	NA	NA
104	d8	9901	3	32_i_l	d	8	i	l	0	NA	NA
104	e2	6149	3	32_i_l	e	2	i	l	1	2016-04-06	167
104	e3	9298	3	32_i_l	e	3	i	l	1	2016-03-08	138
104	e4	9659	3	32_i_l	e	4	i	l	0	NA	NA
104	e5	766	3	32_i_l	e	5	i	l	0	NA	NA
104	e6	9834	3	32_i_l	e	6	i	l	0	NA	NA
104	e7	763	3	32_i_l	e	7	i	l	0	NA	NA
105	a2	2	3	33_i_l	a	2	i	l	0	NA	NA
105	a3	9782	3	33_i_l	a	3	i	l	1	2016-03-25	155
105	a4	9409	3	33_i_l	a	4	i	l	1	2016-03-21	151
105	a5	9791	3	33_i_l	a	5	i	l	1	2016-03-09	139
105	a6	9781	3	33_i_l	a	6	i	l	0	NA	NA
105	a7	9591	3	33_i_l	a	7	i	l	1	2016-03-08	138
105	b1	7163	3	33_i_l	b	1	i	l	1	2016-03-09	139
105	b2	6126	3	33_i_l	b	2	i	l	0	NA	NA
105	b3	8420	3	33_i_l	b	3	i	l	0	NA	NA
105	b4	9588	3	33_i_l	b	4	i	l	1	2016-03-18	148
105	b5	9749	3	33_i_l	b	5	i	l	0	NA	NA
105	b6	2317	3	33_i_l	b	6	i	l	1	2016-03-02	132
105	b7	9817	3	33_i_l	b	7	i	l	0	NA	NA
105	b8	9394	3	33_i_l	b	8	i	l	1	2016-03-14	144
105	c1	8227	3	33_i_l	c	1	i	l	1	2016-03-28	158
105	c2	9363	3	33_i_l	c	2	i	l	1	2016-03-28	158
105	c3	6025	3	33_i_l	c	3	i	l	0	NA	NA
105	c4	9899	3	33_i_l	c	4	i	l	1	2016-03-08	138
105	c5	7255	3	33_i_l	c	5	i	l	0	NA	NA
105	c6	9584	3	33_i_l	c	6	i	l	0	NA	NA
105	c7	6133	3	33_i_l	c	7	i	l	1	2016-03-30	160
105	c8	9840	3	33_i_l	c	8	i	l	1	2016-03-21	151
105	d1	9565	3	33_i_l	d	1	i	l	1	2016-03-08	138
105	d2	9937	3	33_i_l	d	2	i	l	1	2016-03-04	134
105	d3	9707	3	33_i_l	d	3	i	l	1	2016-03-18	148
105	d4	7276	3	33_i_l	d	4	i	l	0	NA	NA
105	d5	7268	3	33_i_l	d	5	i	l	0	NA	NA
