pathimage	site	totarea	sk	bp	ep	datelabeled	tray	pos	organ	indpop	num
../data/field_tuebingen_harvesting/2016_07_22/P1170579.JPG	tuebingen	126221	29151	6871	85	2017-07-11_12:49:00	120	d3	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170581.JPG	tuebingen	136202	25208	3674	56	2017-07-11_12:49:02	120	d3	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170582.JPG	tuebingen	47193	10276	342	87	2017-07-11_12:49:04	120	d8	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170583.JPG	tuebingen	168095	26572	3635	77	2017-07-11_12:49:06	120	d8	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170584.JPG	tuebingen	82836	25983	7389	73	2017-07-11_12:49:09	123	e4	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170585.JPG	tuebingen	279868	51921	3941	228	2017-07-11_12:49:10	123	e4	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170586.JPG	tuebingen	118129	23238	1676	134	2017-07-11_12:49:12	123	c3	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170587.JPG	tuebingen	81219	14619	275	87	2017-07-11_12:49:14	123	c3	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170588.JPG	tuebingen	128226	23109	1577	216	2017-07-11_12:49:18	123	e7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170589.JPG	tuebingen	128020	24456	1207	113	2017-07-11_12:49:20	123	e7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170590.JPG	tuebingen	154786	32391	7305	115	2017-07-11_12:49:26	123	e6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170591.JPG	tuebingen	119193	27634	2265	107	2017-07-11_12:49:27	123	e6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170592.JPG	tuebingen	46762	10703	386	34	2017-07-11_12:49:30	123	d7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170593.JPG	tuebingen	221805	45636	2140	289	2017-07-11_12:49:32	123	d7	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170594.JPG	tuebingen	74428	13146	1354	112	2017-07-11_12:49:34	123	e5	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170595.JPG	tuebingen	216500	54434	5325	325	2017-07-11_12:49:35	123	e5	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170596.JPG	tuebingen	84946	15976	941	102	2017-07-11_12:49:38	123	e2	r	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170597.JPG	tuebingen	141190	30721	946	175	2017-07-11_12:49:39	123	e2	i	i	NA
../data/field_tuebingen_harvesting/2016_07_22/P1170598.JPG	tuebingen	55223	11250	852	75	2017-07-11_12:49:42	123	c1	r	i	NA
