id	replicate	trayid	traynumber	rowcoor	colcoor	rep_type	water_type	quality	otherpos	othergeno
5151	1	12_p_l	12	B	7	p	l	1	0	0
9521	1	12_p_l	12	B	8	p	l	1	0	0
9518	1	12_p_l	12	C	1	p	l	1	0	0
9558	1	12_p_l	12	C	2	p	l	1	0	0
7323	1	12_p_l	12	C	3	p	l	1	0	0
9928	1	12_p_l	12	C	4	p	l	1	0	0
9823	1	12_p_l	12	C	5	p	l	1	0	0
9841	1	12_p_l	12	C	6	p	l	1	0	0
9121	1	12_p_l	12	C	7	p	l	1	0	0
9869	1	12_p_l	12	C	8	p	l	1	0	0
9791	1	12_p_l	12	D	1	p	l	1	0	0
9697	1	12_p_l	12	D	2	p	l	1	0	0
9748	1	12_p_l	12	D	3	p	l	1	0	0
9343	1	12_p_l	12	D	4	p	l	1	0	0
6177	1	12_p_l	12	D	5	p	l	1	0	0
7081	1	12_p_l	12	D	6	p	l	1	0	0
7025	1	12_p_l	12	D	7	p	l	1	0	0
9555	1	12_p_l	12	D	8	p	l	1	0	0
5811	1	12_p_l	12	E	2	p	l	1	0	0
9803	1	12_p_l	12	E	3	p	l	1	0	0
6180	1	12_p_l	12	E	4	p	l	1	0	0
9769	1	12_p_l	12	E	5	p	l	1	0	0
9781	1	12_p_l	12	E	6	p	l	1	0	0
9645	1	12_p_l	12	E	7	p	l	1	0	0
9868	1	13_p_l	13	A	2	p	l	1	0	0
1890	1	13_p_l	13	A	3	p	l	1	0	0
7250	1	13_p_l	13	A	4	p	l	1	0	0
8247	1	13_p_l	13	A	5	p	l	1	0	0
9849	1	13_p_l	13	A	6	p	l	1	0	0
9380	1	13_p_l	13	A	7	p	l	1	0	0
9944	1	13_p_l	13	B	1	p	l	1	0	0
6107	1	13_p_l	13	B	2	p	l	1	0	0
8343	1	13_p_l	13	B	3	p	l	1	0	0
9649	1	13_p_l	13	B	4	p	l	1	0	0
9524	1	13_p_l	13	B	5	p	l	1	0	0
9640	1	13_p_l	13	B	6	p	l	1	0	0
5353	1	13_p_l	13	B	7	p	l	1	0	0
9779	1	13_p_l	13	B	8	p	l	1	0	0
7162	1	13_p_l	13	C	1	p	l	1	0	0
9561	1	13_p_l	13	C	2	p	l	1	0	0
7296	1	13_p_l	13	C	3	p	l	1	0	0
6040	1	13_p_l	13	C	4	p	l	1	0	0
7316	1	13_p_l	13	C	5	p	l	1	0	0
7276	1	13_p_l	13	C	6	p	l	1	0	0
7026	1	13_p_l	13	C	7	p	l	1	0	0
7305	1	13_p_l	13	C	8	p	l	1	0	0
9512	1	13_p_l	13	D	1	p	l	1	0	0
9519	1	13_p_l	13	D	2	p	l	1	0	0
9871	1	13_p_l	13	D	3	p	l	1	0	0
9836	1	13_p_l	13	D	4	p	l	1	0	0
5741	1	13_p_l	13	D	5	p	l	1	0	0
9597	1	13_p_l	13	D	6	p	l	1	0	0
9705	1	13_p_l	13	D	7	p	l	1	0	0
9747	1	13_p_l	13	D	8	p	l	1	0	0
9554	1	13_p_l	13	E	2	p	l	1	0	0
7077	1	13_p_l	13	E	3	p	l	1	0	0
6945	1	13_p_l	13	E	4	p	l	1	0	0
6148	1	13_p_l	13	E	5	p	l	1	0	0
9591	1	13_p_l	13	E	6	p	l	1	0	0
6961	1	13_p_l	13	E	7	p	l	1	0	0
9567	1	14_p_l	14	A	2	p	l	1	0	0
9935	1	14_p_l	14	A	3	p	l	1	0	0
9574	1	14_p_l	14	A	4	p	l	1	0	0
9771	1	14_p_l	14	A	5	p	l	1	0	0
9619	1	14_p_l	14	A	6	p	l	1	0	0
9520	1	14_p_l	14	A	7	p	l	1	0	0
9698	1	14_p_l	14	B	1	p	l	1	0	0
9927	1	14_p_l	14	B	2	p	l	1	0	0
6218	1	14_p_l	14	B	3	p	l	1	0	0
9481	1	14_p_l	14	B	4	p	l	1	0	0
9589	1	14_p_l	14	B	5	p	l	1	0	0
9848	1	14_p_l	14	B	6	p	l	1	0	0
9539	1	14_p_l	14	B	7	p	l	1	0	0
6986	1	14_p_l	14	B	8	p	l	1	0	0
6963	1	14_p_l	14	C	1	p	l	1	0	0
9723	1	14_p_l	14	C	2	p	l	1	0	0
9571	1	14_p_l	14	C	3	p	l	1	0	0
7477	1	14_p_l	14	C	4	p	l	1	0	0
6138	1	14_p_l	14	C	5	p	l	1	0	0
6195	1	14_p_l	14	C	6	p	l	1	0	0
9537	1	14_p_l	14	C	7	p	l	1	0	0
9874	1	14_p_l	14	C	8	p	l	1	0	0
6169	1	14_p_l	14	D	1	p	l	1	0	0
9743	1	14_p_l	14	D	2	p	l	1	0	0
7000	1	14_p_l	14	D	3	p	l	1	0	0
6092	1	14_p_l	14	D	4	p	l	1	0	0
9890	1	14_p_l	14	D	5	p	l	1	0	0
4958	1	14_p_l	14	D	6	p	l	1	0	0
9530	1	14_p_l	14	D	7	p	l	1	0	0
9527	1	14_p_l	14	D	8	p	l	1	0	0
5856	1	14_p_l	14	E	2	p	l	1	0	0
159	1	14_p_l	14	E	3	p	l	1	0	0
8387	1	14_p_l	14	E	4	p	l	1	0	0
8243	1	14_p_l	14	E	5	p	l	1	0	0
9125	1	14_p_l	14	E	6	p	l	1	0	0
