id	name	country	latitude	longitude	kgroup
7298	Pi-0	AUT	47.04	10.51	2
7305	Pt-0	GER	53.476	10.6065	9
7307	Pn-0	FRA	48.0653	-2.96591	1
7316	Rhen-1	NED	51.9667	5.56667	9
7323	Rubezhnoe-1	UKR	49	38.28	7
7333	Sei-0	ITA	46.5438	11.5614	2
7337	Si-0	GER	50.8738	8.02341	9
7343	Sp-0	GER	52.5339	13.181	3
7346	Ste-0	GER	52.6058	11.8558	3
7347	Stw-0	RUS	52	36	2
7353	Tha-1	NED	52.08	4.3	9
7354	Ting-1	SWE	56.5	14.9	3
7372	Tscha-1	AUT	47.0748	9.9042	2
7373	Tsu-0	JPN	34.43	136.31	9
7378	Uk-1	GER	48.0333	7.7667	9
7384	Ven-1	NED	52.0333	5.55	9
7394	Wa-1	POL	52.3	21	2
7404	Wc-1	GER	52.6	10.0667	9
7411	Wl-0	GER	47.9299	10.8134	2
7415	Wu-0	GER	49.7878	9.9361	9
7416	Yo-0	USA	37.45	-119.35	1
7419	Db-1	GER	50.3058	8.32213	9
7430	Nc-1	FRA	48.6167	6.25	9
7477	WAR	USA	41.7302	-71.2825	9
8214	Gy-0	FRA	49	2	1
8227	THÖ	SWE	62.7989	17.9103	11
8230	Algutsrum	SWE	56.68	16.5	3
8231	Brö1-6	SWE	56.3	16	3
8234	Gul1-2	SWE	56.4606	15.8127	3
8235	Hod	CZE	48.8	17.1	2
8236	HSm	CZE	49.33	15.76	2
8237	Kävlinge-1	SWE	55.8	13.1	3
8240	Kulturen-1	SWE	55.705	13.196	3
8241	Liarum	SWE	55.9473	13.821	3
8242	Lillö-1	SWE	56.1494	15.7884	3
8243	PHW-2	ITA	43.7703	11.2547	9
8244	PHW-34	FRA	48.6103	2.3086	9
8246	NC-6	USA	35	-79.18	1
8247	San-2	SWE	56.07	13.74	6
8249	Vimmerby	SWE	57.7	15.8	3
8264	Bla-1	ESP	41.6833	2.8	10
8311	In-0	AUT	47.5	11.5	2
8312	Is-0	GER	50.5	7.5	9
8337	Mir-0	ITA	44	12.37	9
8343	Na-1	FRA	47.5	1.5	9
8351	Ost-0	SWE	60.25	18.37	11
8354	Per-1	RUS	58	56.3167	7
8357	Pla-0	ESP	41.5	2.25	10
8365	Rak-2	CZE	49	16	2
