id	FT10_mean	FT10_sd	FT16_mean	FT16_sd
6911	62.75	6.994045086	47.25	4.34932945
6913	120.6666667	8.082903769	NA	NA
6915	76.5	8.346656017	56.75	1.707825128
6916	75	6.480740698	45.66666667	3.785938897
6917	144	6.08276253	NA	NA
6918	123	14.71960144	NA	NA
6919	76.75	7.135591543	94	34.87119155
6920	86.75	4.5	93.75	14.63728117
6921	83.25	5.678908346	79.5	4.358898944
6922	71	5.944184833	44.5	4.795831523
6923	57	4.898979486	41.5	4.654746681
6924	61.5	6.027713773	47	2.943920289
6926	66.25	4.991659711	45.75	2.753785274
6927	73.5	4.795831523	63	4.082482905
6928	77.25	4.34932945	63.66666667	3.785938897
6929	78.5	5.259911279	61.75	4.645786622
6931	59.75	1.707825128	48.5	6.608075867
6932	63.5	5.322906474	40.33333333	0.577350269
6933	63.75	2.061552813	54.5	3.535533906
6936	80.5	4.932882862	56.5	3.109126351
6937	75.75	4.272001873	57.25	0.957427108
6938	72	4.760952286	70.75	6.291528696
6939	61.25	3.685557398	44	0.816496581
6940	64.25	5.188127472	39.25	2.872281323
6943	60.75	2.217355783	42.5	1.290994449
6944	63.75	9.945685832	44.5	3.31662479
6945	76.5	7.187952884	56	3.464101615
6951	79.5	3.109126351	59	4.242640687
6956	84.5	2.645751311	72.5	5.259911279
6957	81.25	3.774917218	84.66666667	13.42882472
6958	68.75	3.304037934	41.66666667	0.577350269
6959	71.75	4.991659711	53.25	3.201562119
6960	55	6.164414003	39.75	5.678908346
6961	59	6.92820323	50.33333333	5.131601439
6963	78.75	8.5	64.25	6.751543034
6964	94.75	13.27591805	103.3333333	11.8462371
6965	94.66666667	18.92969449	113.3333333	14.04753834
6966	62.25	3.304037934	55.125	9.29573635
6967	62.75	4.5	42	4.082482905
6968	92.5	4.041451884	91.33333333	4.509249753
6969	91.25	6.396613688	96	5.228129047
6970	62.5	1.732050808	50.25	2.362907813
6971	66.25	5.5	63.66666667	4.041451884
6972	79.5	5.446711546		
6973	77.25	8.61684397	46.25	1.707825128
6974	108.75	6.898067362	125.25	10.87428159
6975	67.25	3.304037934	47.25	2.62995564
6976	71.25	7.365459931	69.5	5.322906474
6979	54.75	6.130524719	36	0.816496581
6981	62.25	12.84198842	43	2.708012802
6982	78.5	10.59874206	44	4.242640687
6984	69.25	2.986078811	47.75	3.201562119
6985	65.5	4.654746681	53	2.943920289
6986	61.5	4.434711565	43.75	4.193248542
6987	69	2.708012802	47.75	1.707825128
6989	78.25	5.057996969	61	5.773502692
6990	79	5.597618541	60.25	5.057996968
6992	68	0.816496581	54.25	4.991659711
6994	79	5.887840578	80	NA
6997	81	5.597618541	56	5.416025603
7000	78	2.708012802	54	2.828427125
7002	80.25	5.852349955	59	1.825741858
7003	71.75	9.142392101	51	4.69041576
7008	95.5	4.795831523	95	28.78657094
7010	77	6.976149846	54.25	3.403429643
7013	63	4.830458915	38.75	1.707825128
7014	81.5	4.123105626	74	2.645751311
7025	71.5	8.346656017	52.66666667	3.055050463
7026	69	8.755950358	45.5	3.872983346
7028	57.5	1	40.25	6.652067348
7031	78.25	9.810708435	47.25	1.707825128
7033	78.75	2.217355783	76	4.242640687
7036	67.75	5.123475383	50.5	1
7058	87.25	4.425306016	66	3.464101615
7061	87.25	3.947573094	64	0
7062	62.25	1.892969449	38.25	0.957427108
7063	72.25	7.410578025	51	3.464101615
7064	68.33333333	2.309401077	66.66666667	8.386497084
7067	58.75	2.986078811	42.25	1.707825128
7068	63.75	3.685557398	56	8.366600265
7071	64.25	2.217355783	45	4.546060566
7072	70.25	2.872281323	62	4.966554809
7075	96	10.70825227	NA	NA
7077	54.5	5.916079783	44.33333333	2.081665999
7081	58.5	4.123105626	42.5	2.516611478
7092	68	3.366501646	54.25	3.774917218
7094	67.25	4.34932945	43.25	2.217355783
7096	65.5	8.185352772	40.25	0.957427108
7098	58.5	2.081666	45.5	5.802298395
7102	87.25	6.652067348	71	5.656854249
7103	62.25	3.095695937	36.75	0.5
7106	76.5	5.066228051	44.5	1.290994449
7107	67.25	1.5	50.75	3.862210075
7109	60.75	4.193248542	45.75	4.193248542
7111	86	11.78982612		
7117	58	6.055300708	36.5	2.081665999
7119	65.5	6.557438524	41	1.414213562
7120	62.5	4.509249753	42.75	2.217355783
7123	70.75	8.057087977	41	1.632993162
7125	69.25	9.464847243	42.75	1.258305739
7126	95.5	5	97.25	5.795112884
7127	59.75	3.5	45.5	2.886751346
7130	91.66666667	3.785938897	78.25	5.5
7133	76	16.26857912	46.25	1.5
7138	85.5	3.31662479	68.5	12.02081528
7143	83	4.582575695	44.5	0.577350269
7147	74.5	2.516611478	52.66666667	4.163331999
7148	73.75	8.015609771	66	6.683312552
7158	63.33333333	2.886751346	47.75	6.898067362
7160	72.25	2.753785274	66.5	4.509249753
7161	61.25	2.061552813	39.33333333	1.527525232
7162	65	1.632993162	42.75	1.707825128
7163	66.5	4.795831523	44	2.943920289
7164	69.75	1.892969449	59.25	2.5
7165	71.5	3.109126351	43.5	2.380476143
7166	67.25	3.774917218	50.75	3.304037934
7167	57	7.702813339	34.25	1.707825128
7169	82.5	5.196152423	78.25	12.97112177
7177	65.75	2.872281323	45.25	2.753785274
7181	96.75	28.52338222	97	35.59494346
7182	64	3.265986324	42.33333333	1.527525232
7186	75	6.976149846	49.75	2.872281323
7192	68.75	9.639329161	42	1.825741858
7199	66.5	14.38749457	37	1.825741858
7202	63	7.118052168	40.75	6.238322424
7203	67.25	4.787135539	44.5	2.516611478
7206	65	8.906926144	40.25	2.872281323
7207	70.25	2.362907813	49.75	1.258305739
7208	73	6.218252702	46	3.829708431
7209	63.5	5.972157622	45.25	2.061552813
7213	65.5	4.041451884	40	1.632993162
7217	56.5	4.123105626	38	1.414213562
7218	75	5.354126135	51.25	1.707825128
7223	75.75	4.991659711	54.75	5.057996968
7231	65.75	5.377421935	45.33333333	3.214550254
7236	73.5	4.509249753	47.5	2.081665999
7244	68	2.943920289	46	1.825741858
7248	71.5	2.645751311	66.66666667	5.507570547
7250	58	4.242640687	37.75	1.892969449
7252	112.6666667	2.516611478	96.66666667	3.511884584
7255	62	4.358898944	47.33333333	10.40833
7258	71	4.546060566	43.5	2.380476143
7263	61.75	2.986078811	41.66666667	0.577350269
7268	65.75	5.377421935	43.66666667	1.527525232
7273	77	13.9761702	43.66666667	2.081665999
7276	73.75	4.272001873	49.25	2.753785274
7280	80.75	2.217355783	46.5	1.914854216
7282	62.5	5.744562647	37.5	1.290994449
7287	71	3.741657387	48.25	2.061552813
7288	82.5	3.872983346	70.25	8.995369179
7296	84.25	3.774917218	62.5	7.724420151
7298	81.75	5.439056291	53.25	2.217355783
7305	79.25	6.5	51.5	1.732050808
7306	76.5	2.886751346	49.75	1.707825128
7307	78.5	5.802298395	72.33333333	7.571877794
7308	84.75	5.5	54.5	3.696845502
7314	66	5.944184833	42.25	2.217355783
7316	81.25	2.061552813	89.25	30.77201109
7319	58.5	4.203173404	52.75	4.272001873
7320	80.75	3.862210075	74.5	3.696845502
7322	76.5	9.949874371	51.75	4.573474245
7323	75.75	6.075908711	64.25	3.403429643
7327	64.5	6.244997998	53.5	3.109126351
7328	56.25	5.560275773	51.33333333	1.527525232
7329	66.75	4.11298756	42	3.366501646
7330	85.25	4.573474245	49	1.825741858
7332	64	5.291502622	43.5	4.795831523
7333	68.75	4.573474245	39.75	1.892969449
7337	74.5	6.191391874	47.5	3.696845502
7342	83	3.16227766	65	11.46007563
7343	72	7	51.25	1.707825128
7344	73.5	1.732050808	47.66666667	2.081665999
7346	78.25	2.061552813	58.66666667	1.527525232
7347	64.75	4.924428901	47	1.154700538
7349	81.25	2.061552813	52.75	4.787135539
7350	80	1.632993162	52	3.605551275
7351	97.33333333	4.932882862	72.66666667	9.073771726
7353	86	4.966554809	70.5	5.916079783
7354	100.25	15.10794493	108.3333333	26.63331247
7355	80.75	5.315072906	80.75	3.862210075
7356	88	3.559026084	64.33333333	3.214550254
7372	83	4.966554809	54.5	9.036961141
7373	81.25	6.946221995	54.75	0.957427108
7375	75.75	4.573474245	54.25	2.872281323
7377	75.75	3.201562119	59.75	0.957427108
7378	71.25	4.031128874	52	3.741657387
7382	55.5	4.509249753	40	2.160246899
7383	60.5	4.795831523	38	1.414213562
7384	76.25	2.217355783	65.75	7.274384281
7387	60.75	4.991659711	41.25	11.08677891
7394	56.75	5.909032634	41.75	5.737304826
7396	61.5	4.203173404	51.5	1.290994449
7404	68.5	3.872983346	41.33333333	2.886751346
7411	66	NA	54	2.828427125
7413	69.25	5.439056291	48	4.546060566
7415	72.25	8.5	45.25	2.061552813
7416	81.5	10.08298897	78.66666667	3.511884584
7417	86.33333333	6.506407099		
7418	63.5	3.511884584	46.25	1.892969449
7419	69	5.228129047	43.25	2.5
7424	57.75	6.994045086	35.5	1.732050808
7427	101	6.218252702	91.5	6.608075867
7430	72.5	7.85281266	42.25	1.5
7438	77.75	3.201562119	65	11.16542282
7458	79.5	5.686240703	52	1
7460	75	4.358898944	37	2
7461	68	3.464101615	48.75	3.774917218
7471	56.25	5.123475383	34	0.816496581
7477	74	9.591663047	52.25	3.774917218
7514	80.25	5.123475383	57.33333333	1.527525232
7515	73.75	4.573474245	73.5	9.469248474
7516	105	6.976149846	117	19.21804707
7517	115	2.943920289	113.75	6.020797289
7518	93.25	6.849574196	80.66666667	3.055050463
7519	90.25	2.362907813	89.66666667	2.516611478
7520	73.25	0.957427108	48.75	3.774917218
7521	70.75	5.6199051	54	4
7522	93	2.1602469	79.25	2.986078811
7523	80	9.763879011	68.75	2.986078811
7524	61.25	0.957427108	40.75	1.258305739
7525	63	4.242640687	41.75	0.5
7526	75.5	6.027713773	71	4.242640687
763	65.75	2.061552813	39	2.943920289
765	56.75	6.130524719	36.66666667	2.081665999
766	63.5	5.066228051	41.75	2.986078811
768	76.5	7.724420151	78.25	4.991659711
770	75.25	4.34932945	72.25	12.81600562
7717	82.75	3.095695937	76.25	8.261355821
772	67.5	3.872983346	43.5	2.645751311
7917	82.25	4.787135539	68.75	7.889866919
7947	82.25	3.5	81.5	13.47837775
801	94.75	5.560275773	88.25	2.061552813
8077	70	3.366501646	57.75	5.123475383
8132	74	2	67.33333333	4.932882862
8213	58.75	5.737304826	36	1.414213562
8214	65	4.546060566	54.5	5.567764363
8222	100	8.831760866	93.25	6.34428877
8227	120	7.702813339	NA	NA
8230	110.3333333	1.527525232	103	37.98683983
8231	100.75	3.304037934	108.6666667	15.94783162
8233	75.5	5.802298395	69.25	6.551081336
8234	102.6666667	10.96965511	92.75	6.34428877
8235	74.5	5	68.75	8.655441448
8236	74	1	64.66666667	11.54700538
8237	97.25	2.62995564	98.75	7.5
8238	79.5	3	52.25	2.5
8239	56	4	42.5	2.380476143
8240	94.5	5.744562647	83	4.582575695
8241	90.75	4.573474245	66.25	2.061552813
8242	116.75	8.655441448	132	NA
8243	80	5.477225575	68.25	1.707825128
8244	90.5	8.346656017	58.5	1.290994449
8246	70.5	5.446711546	76.5	5.802298395
8247	98	4.242640687	94.66666667	3.055050463
8249	93.75	2.62995564	88	2.645751311
8256	73.25	6.396613688	45.25	2.753785274
8258	93	NA	NA	NA
8259	88	9.539392014	65.5	2.121320344
8264	65.5	2.380476143	63.5	3.535533906
8266	105	2.708012802	NA	NA
8275	78.33333333	3.055050463	57	3
8283	84.25	4.34932945	82.66666667	8.144527815
8284	83.25	6.238322424	76	6.377042157
8285	66.5	1.290994449	51.66666667	4.163331999
8290	63.25	5.6199051	44.25	2.62995564
8297	85.75	1.258305739	79	3.559026084
8306	102.5	10.37625494	95	3.605551275
8307	79.25	1.258305739	64.25	5.439056291
8311	65.5	8.96288644	59.25	10.34005158
8312	65.75	2.217355783	52	14.02378931
8325	77	9.201449161	64.33333333	2.081665999
8326	86.75	3.403429643	58	2.943920289
8334	74.75	4.991659711	54	1.732050808
8335	100	4.69041576	92.25	3.201562119
8337	74	3.559026084	72.5	4.725815626
8343	81.25	5.795112884	59.75	3.774917218
8351	103	5.163977795	97.5	3.785938897
8353	50.75	4.924428901	35.25	0.957427108
8354	82	3.16227766	58.75	3.5
8357	71.75	2.217355783	55.5	2.380476143
8365	74	13.34166406	39.5	3
8366	78.33333333	2.081666	62.75	30.18139604
8369	98	7.071067812	94.66666667	5.507570547
8376	103	8.124038405	104	6.976149845
8378	66.25	6.396613688	50.33333333	3.055050463
8386	75	2.1602469	49	1.414213562
8387	74.25	7.5	48.33333333	1.154700538
8419	94.25	20.6135069	58.75	4.11298756
8420	74.75	5.852349955	47.5	2.380476143
8422	116.75	6.751543034	116.25	17.01714821
8423	98.5	24.07626771	69.75	8.995369179
8424	68.25	4.991659711	80	3.366501646
8424	68.25	4.991659711	75.5	5.066228051
8426	62.75	3.403429643	40.25	1.258305739
8428	66.75	8.995369179	41.5	0.577350269
8430	90.5	3.109126351	78	1.154700538
8472	63.5	6.806859286	40.5	1.290994449
8584	89	7.071067812	74.75	8.883505314
870	72.5	1.732050808	62.25	10.0124922
88	61.25	4.787135539	50.5	7.778174593
9045	88.75	14.86326568	78	24.04163056
9057	87.5	4.203173404	67.5	1.732050808
9058	113.25	5.188127472	123	NA
9061	97.25	2.872281323	102.6666667	0.577350269
9063	97.75	3.403429643	98.75	0.957427108
9064	94.75	7.228416147	107.6666667	8.504900548
9066	95.25	3.593976442	101	6
9067	101.75	3.862210075	130	5.656854249
9069	82.75	4.924428901	90.75	1.707825128
9070	80	4.760952286	88.5	5.686240703
9073	93.25	4.031128874	101.5	2.380476143
9075	93.25	2.5	98.25	6.075908711
9078	100.25	5.737304826	104.25	4.425306016
9079	101	2.309401077	102	0
9081	91.25	4.716990566	99.66666667	7.571877794
9082	91.25	3.774917218	100.3333333	2.516611478
9084	103.75	3.593976442	114.25	4.645786622
9085	103	3.559026084	101	4.618802154
9089	88.66666667	4.725815626	125.5	2.121320344
9090	89.5	3.696845502	122	7.071067812
9091	99.75	4.11298756	97.5	3.511884584
9094	93.5	3.415650255	91	5
9095	104	3.464101615	113.3333333	4.041451884
9096	105	1.414213562	121.3333333	8.020806277
9098	99.75	2.217355783	99.5	18.08314132
9099	100.25	4.031128874	112.6666667	4.509249753
9100	77.5	9.183318209	74	2.645751311
9102	83.75	3.403429643	80.75	5.439056291
9103	83.25	7.5	82.75	6.396613687
9104	60.75	2.986078811	60	5.477225575
9105	77.25	5.315072906	78.75	10.71991915
9106	87.25	5.123475383	87.5	4.932882862
9111	100.5	1.290994449	89.25	4.645786622
9113	76	11.10555417	70.25	9.069178574
9114	99.75	3.685557398	100.5	13.43502884
9115	91.25	7.544313532	71.75	28.2415179
9119	97.5	2.081666	110	11.35781669
9120	105.5	1.914854216	125	13
9121	105.25	1.707825128	102	11.13552873
9124	104.5	5.744562647	118.25	9.673847907
9125	74	4.320493799	69.25	3.862210075
9128	69.5	4.654746681	61	4.242640687
9130	72.75	2.872281323	63.25	1.707825128
9131	72.5	5.066228051	63.5	6.403124237
9133	73.25	2.986078811	68	4.082482905
9134	79.75	5.965176723	64.5	3.535533906
915	63.75	4.787135539	43.5	1.290994449
9298	60	7.118052168	45.5	0.577350269
9312	75.25	7.804912983	57.5	2.886751346
9314	74.25	8.180260795	60	3.464101615
932	78	5.099019514	68.75	5.439056291
9321	106.75	13.76892637	140	NA
9323	97	5.416025603	80.75	5.560275773
9330	90.5	2.121320344		
9332	114.25	7.973915809	129	NA
9336	84	2.828427125	66.75	2.872281323
9339	104.5	3.872983346	116.5	9.192388155
9343	94.5	2.516611478	88	2.160246899
9352	127.75	2.5	134.3333333	5.507570547
9353	126	13.6381817	134	NA
