pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num
../data/field_madrid_harvesting/2016_530/P1030478.JPG,madrid,147844,18733,248,77,Rocio,322,b6,r,i,1
../data/field_madrid_harvesting/2016_530/P1030502.JPG,madrid,181642,19451,484,128,Rocio,322,d3,r,i,1
../data/field_madrid_harvesting/2016_530/P1030566.JPG,madrid,564027,81811,5100,546,Rocio,207,d7,r,p,17
../data/field_madrid_harvesting/2016_530/P1030579.JPG,madrid,271473,42860,2754,195,Rocio,208,a2,i,p,1
../data/field_madrid_harvesting/2016_530/P1030580.JPG,madrid,241376,29317,383,159,Rocio,208,c3,r,p,1
../data/field_madrid_harvesting/2016_530/P1030581.JPG,madrid,303829,48713,2806,246,Rocio,208,c3,i,p,1
../data/field_madrid_harvesting/2016_530/P1030588.JPG,madrid,162042,19963,377,81,Rocio,209,a3,r,p,1
../data/field_madrid_harvesting/2016_530/P1030602.JPG,madrid,204807,22971,216,113,Rocio,209,c2,r,p,1
../data/field_madrid_harvesting/2016_530/P1030618.JPG,madrid,132041,17104,494,118,Rocio,210,a6,r,p,2
../data/field_madrid_harvesting/2016_530/P1030628.JPG,madrid,66816,9639,110,45,Rocio,210,c3,r,p,1
../data/field_madrid_harvesting/2016_530/P1030661.JPG,madrid,435574,53124,7239,758,Rocio,211,d5,i,p,3
../data/field_madrid_harvesting/2016_530/P1030666.JPG,madrid,554468,86621,5503,559,Rocio,211,e2,r,p,16
../data/field_madrid_harvesting/2016_530/P1030674.JPG,madrid,447617,66824,3115,548,Rocio,212,a2,r,p,24
../data/field_madrid_harvesting/2016_530/P1030700.JPG,madrid,139320,15838,352,135,Rocio,212,c3,r,p,3
../data/field_madrid_harvesting/2016_530/P1030706.JPG,madrid,288832,48915,2979,274,Rocio,212,c7,r,p,11
../data/field_madrid_harvesting/2016_530/P1030730.JPG,madrid,481237,57377,2003,364,Rocio,212,e4,r,p,4
../data/field_madrid_harvesting/2016_530/P1030734.JPG,madrid,263212,30391,588,193,Rocio,212,e6,r,p,1
../data/field_madrid_harvesting/2016_530/P1030743.JPG,madrid,375477,57230,2776,300,Rocio,199,b2,r,p,11
../data/field_madrid_harvesting/2016_530/P1030787.JPG,madrid,191672,29600,473,59,Rocio,201,b5,r,p,3
