mean DTF1	sd	count	mean DTF2	sd	count	mean DTF3	sd	count	mean RL	sd	count	mean CL	sd	count	Ecotype_id
81.25	4.856267428	4	87.5	5.686240703	4	91.5	6.608075867	4	49	9.643650761	3	11.33333333	3.214550254	3	7427
31.25	0.957427108	4	38	0.816496581	4	42.25	1.5	4	21	0.816496581	4	9	0.816496581	4	7430
40	0	3	47.66666667	0.577350269	3	52	1	3	33.33333333	3.511884584	3	5.333333333	0.577350269	3	7458
30	5.656854249	4	34.5	4.725815626	4	37	2	3	17.5	8.266397845	4	4.25	0.5	4	7460
24.75	0.957427108	4	29.75	0.5	4	34	0.816496581	4	9.5	0.577350269	4	3	0	4	7471
49.66666667	1.527525232	3	55	0	3	56.33333333	0.577350269	3	48	2	3	7.333333333	1.527525232	3	8251
25.25	1.892969449	4	29	2.160246899	4	34.25	1.892969449	4	9.5	0.577350269	4	4.5	5	4	8253
52	2.828427125	2	56	2.828427125	2	63.5	3.535533906	2	30.5	4.949747468	2	11	1.414213562	2	8264
47.5	3.872983346	4	50.75	3.774917218	4	56.25	3.593976442	4	51.25	6.701989754	4	10.25	1.5	4	8268
55.66666667	11.01514109	3	60.66666667	10.11599394	3	65.33333333	10.78579312	3	48	6.557438524	3	9.666666667	2.081665999	3	8269
46.33333333	3.214550254	3	52.33333333	2.516611478	3	57	3	3	37.66666667	0.577350269	3	10.33333333	0.577350269	3	8275
45.66666667	6.506407099	3	51	4	3	59	6	3	40.33333333	5.686240703	3	12	1.414213562	2	8277
44.25	2.061552813	4	49	1.414213562	4	56.75	1.707825128	4	38.75	4.573474245	4	8.75	1.5	4	8289
41	5.567764363	3	47.33333333	3.511884584	3	94	34.87119155	3	41	1	3	7.5	0.707106781	2	8295
68.75	5.560275773	4	73.75	4.856267428	4	79.5	4.358898944	4	52.75	16.52018967	4	13.75	4.787135539	4	8299
32.25	3.685557398	4	38	3.464101615	4	44.5	4.795831523	4	20.25	1.707825128	4	7	1.732050808	3	8301
42.75	5.737304826	4	47.75	5.737304826	4	54.5	5.567764363	4	36.75	8.5	4	8.75	1.707825128	4	8302
36	2.160246899	4	42.25	3.593976442	4	47	2.943920289	4	30.5	3.31662479	4	9	1.154700538	4	8309
48	10.23067284	4	52.25	10.62622542	4	59.25	10.34005158	4	42	10.7393358	4	10.25	2.061552813	4	8311
35	2.943920289	4	41.75	2.061552813	4	45.75	2.753785274	4	26	4.082482905	4	7.333333333	1.154700538	3	8316
53.25	4.11298756	4	56.5	4.203173404	4	63	4.082482905	4	37	3.829708431	4	7.75	1.5	4	8317
53	3.366501646	4	56	4.082482905	4	63.66666667	3.785938897	3	48.25	4.716990566	4	12.75	1.258305739	4	8318
51.5	2.380476143	4	56	2.581988897	4	61.75	4.645786622	4	41.25	4.573474245	4	4.25	0.5	4	8319
37	5.715476066	4	40.75	5.439056291	4	48.5	6.608075867	4	20.75	4.031128874	4	7.75	2.061552813	4	8322
51	3.464101615	3	55	3.605551275	3	64.33333333	2.081665999	3	38	6.08276253	3	10.33333333	1.527525232	3	8325
41.5	4.949747468	2	44.5	4.949747468	2	54.5	3.535533906	2	25	14.14213562	2	7.5	0.707106781	2	8328
36.25	3.593976442	4	41.75	3.774917218	4	48.75	3.774917218	4	25.25	2.217355783	4	7	1.414213562	4	8332
47.25	2.5	4	50.5	2.516611478	4	56.5	3.109126351	4	52	3.366501646	4	10.75	2.061552813	4	8336
62	4.082482905	4	66.75	4.272001873	4	72.5	4.725815626	4	52.25	2.362907813	4	14.33333333	0.577350269	3	8337
68.25	4.34932945	4	73.25	4.34932945	4	79.25	2.986078811	4	35	4.69041576	4	9.666666667	1.154700538	3	8338
61.25	6.238322424	4	66.5	7.141428429	4	70.75	6.291528696	4	43	5.944184833	4	9.666666667	1.527525232	3	8340
28.75	2.5	4	33.5	2.081665999	4	39.25	2.872281323	4	14.5	1.914854216	4	4	0.816496581	4	8342
50.25	4.645786622	4	55	3.16227766	4	59.75	3.774917218	4	44.5	3	4	11.5	0.577350269	4	8343
32.75	2.986078811	4	39.25	2.217355783	4	44.5	3.31662479	4	21	4.898979486	4	5.75	1.707825128	4	8346
44.25	2.986078811	4	49.5	3.696845502	4	56	3.464101615	4	37.5	1.290994449	4	10	1	3	8347
25.75	1.707825128	4	30	1.414213562	4	35.25	0.957427108	4	12.25	2.217355783	4	4	0.816496581	4	8353
47.5	4.041451884	4	53.75	2.753785274	4	58.75	3.5	4	41.5	3.872983346	4	8.666666667	2.081665999	3	8354
46	2.449489743	4	49	2.160246899	4	55.5	2.380476143	4	40.5	4.932882862	4	11	0.816496581	4	8357
