406	411	401	323	401	401		406	323		row1
328	401	406			406	401	401	406		row1
406	406	406	401	323	406	401	411	401		row1
401	316	328	401	406	401	401	406	408		row1
321	321	406	411		401	328	408	406		row1
X	406	401	406	X	X	406	401	411	X	row1
X	321	406	401	152	X	408	401		165	row1
	406	401	406	406	325	406	328			row1
401	408	325	408		406	325				row1
	406		406	406	328	318	406			row1
	406	401	406		406			401		row1
401			406		401		411			row1
406			401	406		406				row1
X	406	401	406	X	X	406			X	row1
X	401	406	401	153	X	406	401	323	166	row1
406	406	406	401	406	321	401	406	401		row1
	401	401	406	328	328	406	401	323		row1
406	406	406			408	401		323		row1
406	406	401	328	406		406	406	318		row1
406	406	406		401	406	408	406	406		row1
401	401	406		411	406	408	401			row1
X	406	406	328	X	X	406		401	X	row1
X	323		401	154	X	406	406	406	167	row1
	401	401		321	318	406	406	411		row1
401	318	401	406	406	401					row1
		401		401	401	406	401			row1
408				406	401		406	406		row1
	406		325	401	406	411		325		row1
		408	401		406	401	406	406		row1
X		401	401	X	X	401		325	X	row1
X	406			155	X	406	406		168	row1
			406	321	406	406	406	411		row1
	408	401		406	406	401	406	411		row1
401		401	401	406	406	406				row1
406	321	406	406	321		411	321			row1
	325	406	401	406	401	406	406	323		row1
			406	406	401	406	401	401		row1
X	325	406	323	X	X	401	401		X	row1
X		406		156	X	401			169	row1
		406	406		401	401				row1
	406		401	406	401	406	406	401		row1
406	406	328			401	406		321		row1
	321	318	406	406		401				row1
		406	406		406		406	325		row1
321	406	401		406	401	301				row1
X	406			X	X	406	401		X	row1
X	406	406	406	157	X			321	170	row1
406	401	316	401	316		328	325			row1
		406	401	406		328		401		row1
401		321	406	321	406	406		406		row1
406	325	406	401	321	406					row1
	406	318	401	301	406	401	316			row1
401	406	401	406	401						row1
X	401		401	X	X	401	406		X	row1
X		401	328	158	X	408			171	row1
406	406	218	411		401	406	328	401		row1
406	406	321	328	401		406	328			row1
406	321	406	406		401	406	406			row1
	406	401	406	401	406	321	406	401		row1
401	411	406	406	328						row1
318		328	308	308	401	406				row1
X			328	X	X	401	406	401	X	row1
X		406	401	159	X				172	row1
406	401	408		406	406	406		406		row1
325	411			401	406	406	401			row1
408	401	401	401			401	406			row1
408	318	406	406	321	406					row1
325	401	401	401		401	401		401		row1
401	401	323	406	401	406	401				row1
X		406	406	X	X	406	406		X	row1
X		401	321	160	X	401	401		173	row1
406		406	401	401						row1
406	406				406		406			row1
411	401	406		406						row1
401	321	323		406						row1
328	321	406								row1
	401	406	406							row1
X		406	406	X	X				X	row1
X	406	406	308	161	X				X	row1
406	406	323		406						row1
	406	401	401	406						row1
	401	406		401						row1
325		401	318	406						row1
		406		318						row1
		406	406							row1
X		406	323	X	X				X	row1
X			406	162	X				X	row1
	406		408	406						row1
				401						row1
				408						row1
				406						row1
401			406	406						row1
406	325	406	323	406						row1
X	401	406	406	X	X				X	row1
X	406		401	163	X				X	row1
406	401			321						row1
406		328	406	321						row1
406				325						row1
408		406		406						row1
										row1
		411								row1
X		411	406	X	X				X	row1
X	321	403	321	177	X	323	316	318	186	row2
403	406	403	403	403	403	226	406	328	403	row2
321	403	403	408	403	406	411	403	406	403	row2
403	406	325	328	323	328	408	406	328	323	row2
406		403	403	316	308	325	406	328	328	row2
403	403	x	316	403	403	411	403	403	403	row2
403	411		403	403	x	406	308	408	328	row2
X	403	403	321	X	X	403	403	406	X	row2
X	403	403	308	178	X	x	321	403	187	row2
403		403	406	318	403	328	403	328	328	row2
325		403	328	328	406	328	321	308	406	row2
x	406	328	408	316	406	408	403	403	325	row2
x	406	328	403	406	406	403	408		218	row2
403	403		318	403	321	406	321	321	209	row2
406	406	403		318	403	406	325	301	203	row2
X	411	328	301	X	X	406		403	X	row2
X	328	403	403	179	X	316	408	321	188	row2
406	406	408	328		321	x	403		406	row2
x	226	411	308	403	403	408		207	321	row2
403	x	406	408	321		323	323		403	row2
325		316	325	403	323	406	406	406	308	row2
na	325	408	203	411	403		316	328	x	row2
408	403	403	403	406	403	403	403	408	403	row2
X	406	403		X	X	403	403	403	X	row2
X	403	403	316	180	X	403	403	406	189	row2
325	318	408	316	406	406	408	403	403	323	row2
325	403	408		301	406	328	406	406	403	row2
x	406	406	406	321	403	408	406	408	403	row2
x	323	316	226	406	408	308	406	321	308	row2
411	408	301	403	406	411	328	403	406	328	row2
406	403	323	328	325	328	321	403	328	129	row2
X	408	403	403	X	X	328	403	325	X	row2
X	403	406	203	181	X	406	403	316	190	row2
406	406	403	328	321	403	411		406	316	row2
406	x	328	406	406	403	403	408	301	323	row2
x	321	308	403	218	408	406	406	328	328	row2
x		403	325	403	328	403	406	403	x	row2
x	406		403	406	403	406	406	328	328	row2
x	411	403	406	x	403	403	408	406	323	row2
X	218	403	406	X	X	403	406	328	X	row2
X	323	406	403	182	X		403	328	191	row2
403	408	406	403	406	403	321	318	x	325	row2
x	403	403	323	328	403		na	328	325	row2
406	403	403	325	d	308	406	408	328	408	row2
403	323	316	411	328	321	403	323	323	301	row2
403	403	403	328	328	310	328	403	406	318	row2
403	310		318	403	408	226	406	403	323	row2
X	321	403	328	X	X	328	411	318	X	row2
X	403	406	403	183	X	403	406	318	192	row2
403	403	316	328	403	325	406	403	316	323	row2
403	403	403	403	403	406	406	411	226	323	row2
406	403	325	316	403	406	403	321	403	403	row2
301	406	x	403	308	403	403	323	408	321	row2
x	321	328	411	403	403	411	403	406	316	row2
323	x	328	403	403	321	406	403	321	408	row2
X	403	406	406	X	X	403	408	226	X	row2
X	403	403	328	184	X	328	301	321	193	row2
406	403	406	403	411	408	403	403	403	129	row2
403	308	403	411	325	406	318	403	318	406	row2
408	328	403	403	216	328	408	403	316	321	row2
406	403	403	403	408	406	408	406	323	226	row2
325	403	406	411	325	406		216	403	406	row2
403	406	408	403	406	403	401	403	403	403	row2
X	411	403	403	X	X	325	328	218	X	row2
X	328	406	408	185	X	403	408	209	194	row2
308	406	403	310	403	403	328	403	321	203	row2
411	321	403	328	321	403	406		321	408	row2
325	408	411	403	403	403	321	408	406	226	row2
403	328	406	406	403	403	226	403	403	218	row2
318	403	406	321	403	403	403	406	403	321	row2
403	403	318	411	406	403	328	406	321	403	row2
X	403	403	325	X	X		226	321	X	row2
X	403	328	406	275	X	x	403	403	288	row2
328	403	203	403	403	406	328	403	325	403	row2
316	403	403	403	403	403	328	323	321	321	row2
403	323	408	321	321	406	325	328	328	226	row2
308	403	403	406	403	318	323	403	403	x	row2
406	318	321	406	406	403	323	316	403	323	row2
328	406	325	308	321	403	316	226	403	318	row2
X	318	328	403	X	X	403	403	403	X	row2
X	403	328	328	276	X	406	403	406	289	row2
403	403	403	328	403	403	403	403	403	403	row2
403	328	403	403	310	403	325	321	403	403	row2
411	323	318	403	403	328	328	328	403	323	row2
x	403	318	403	403	403	403	403	403	403	row2
403	308	403	403	403		406	406	403	403	row2
406	325	403	403	325	403	403	403	x	x	row2
X	403	403	403	X	X	403	323	403	X	row2
X	328	x	403	277	X	301	328		290	row2
301	403	403	321	403	406	301	328	403		row2
321	325	318	318	321	316	406	403	308	328	row2
328	403	328	403	321	406	406	328	406	328	row2
406	323	301	321	323	403	403	321	403	403	row2
328	325	325	403	403	323	316	308	403	321	row2
406	403	403	325	308	403	308	321	321	325	row2
X	325	325	403	X	X	411	403	403	X	row2
X		226	406	278	X	321	403	318	291	row2
x	403	216	403	308	321	403	321	403	403	row2
325	403	403	408	316	308	406	325	321	403	row2
406	403	316	316	328	403	403	308	403	403	row2
226	403	403	403	403	318	321	x		406	row2
403	403	403	403	325	403	403	403	328	406	row2
406	403	403	321	403	403	321	403	301	226	row2
X	403	325	316	X	X	403	207	403	X	row2
X	406	406	403	279	X	328	403	403	292	row2
325	403	218	328	406	403	328	328	328	403	row2
403	403	308	403	403	406	328	328	403	328	row2
x	323	406	328	321	403	403	403	318	316	row2
403	x	403	226	403	403	x	328	403	403	row2
403	318	328	403	308	403	308	323	403	316	row2
316	403	403	316	403	325	403	318	403	316	row2
X	406	403	403	X	X	403	403	323	X	row2
X	406	403	226	280	X	403	325	328	293	row2
x	403	321	328	318	328	403	406	x	323	row2
403	406	321	403	308	323	403	403	403	403	row2
328	403	403	323	403	403	325	308	328	323	row2
328	408	403	406	321	403	403	318	328	328	row2
328	411	403	316	x	403	403	403	403	403	row2
325	403	403	328	403	403	408	318	403	218	row2
X	403	308	403	X	X	403	301	316	X	row2
X	403	x	408	281	X	408	403	328	294	row2
x		328	308	321	403	325	325	301	403	row2
403	408	321	325	316	408	403	403	403	403	row2
406	403	328	328	328	408	403	403	403	403	row2
408	403	403		328	321	403	403	403	323	row2
403		328	328	328	316	323	328	328	403	row2
403		318		328	403	406	321	403	321	row2
X	403	403	406	X	X	218	318	316	X	row2
X	x	403	328	282	X	403	403	403	295	row2
328	406	403	403	323	403	403	403	403	308	row2
406	403	316	316	323	403	316	323	323	403	row2
403	325	403	403	406	403	406	323	406	321	row2
328	408	408	403	406	403	403	403	403	403	row2
406	316	323	403	316	403	403	316	321	403	row2
323	328	403	325	403	323	403	403	403	403	row2
X	318	403	403	X	X	403	323	406	X	row2
X	406	406	403	283	X	403	403	321	296	row2
328	403	403	328	403	325	403	403	403	403	row2
	325	325	403	403	323	406	408	328	316	row2
328	328	310	403	403	403	321	328	403	x	row2
403	403	308	403	403	321	226	328	323	328	row2
403	325	328	226	403	321	308	406	403	316	row2
328	406	x	328	328	403	403	x	406	318	row2
X	318	408	226	X	X	328	328	403	X	row2
X	403	403	323	284	X	406	403	328	297	row2
318	403	316	328	403	318	406	323	328	323	row2
323	325	x	323	403	406	301	403	403	328	row2
403	308	403	328	308	321	321	406	328	218	row2
408	406	406	226	403	403	403	328	403	328	row2
403	323	328	328	403	403	321	323	403	406	row2
323	328	403	406	406	318	325	403	328	328	row2
X	403	328	403	X	X	328	321	328	X	row2
X	328	328	403	285	X	403	403	403	298	row2
408	325	403	403	403	406	328	403	226	328	row2
403	403	406	325	328	328	328	403	403	403	row2
403	403	321	406	318	328	325	310	403	318	row2
403	403	328	406	325	209	403	301	323	406	row2
323	321	403	406	403	323	325	408	325	403	row2
325	406	403	318	403	403	403	226	403	308	row2
X	316	403	403	X	X	321	328	403	X	row2
X	325	325	403	286	X	323	406	328	299	row2
403	403	408	403	321	403	403	328	328	403	row2
328	406	301	x	403	318	406	403	308	323	row2
