tg_ecotypeid,name,country,sitename,latitude,longitude,collector,collectiondate,release_status,seq_by,picture,CS_number
10001,TueV-13,GER,,48.52,9.05,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10001.png,CS76407
10002,TueWal-2,GER,,48.53,9.04,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10002.png,CS76405
10004,Bolin-1,ROU,,44.46,25.74,,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10004.png,CS76373
10005,Copac-1,ROU,,46.11,21.95,,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10005.png,CS76420
10006,Kastel-1,UKR,Kastel Mountain,44.6419,34.3814,James Beck,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10006.png,CS76395
10008,Sij-1,UZB,Sijjak,41.45,70.05,Heike Schmuths,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10008.png,CS76379
10009,Sij-2,UZB,,41.45,70.05,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10009.png,CS76380
10010,Sij-4,UZB,,41.45,70.05,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10010.png,CS76381
10011,Yeg-1,ARM,Yeghegis,39.8692,45.3622,James Beck,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10011.png,CS76394
10012,Istisu-1,AZE,Istisu,38.9786,48.5594,James Beck,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10012.png,CS76389
10013,Lerik1-3,AZE,Lerik,38.7406,48.6131,James Beck,,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10013.png,CS76388
10014,Xan-1,AZE,Xanbulan,38.6536,48.7992,James Beck,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10014.png,CS76387
10015,Ara-1,AFG,,37.29,71.3,,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10015.png,CS76382
10017,Petro-1,SRB,,44.34,21.46,,1999-12-30 0:00:00,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10017.png,CS76370
10018,Dobra-1,SRB,,44.84,20.16,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10018.png,CS76369
10020,Jl-2,CZE,,49.17,16.5,,1999-12-30 0:00:00,,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10020.png,CS76956
10022,Uk-3,GER,Uk,48.0333,7.7667,Albert Kranz,1999-12-30 0:00:00,,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10022.png,CS78777
10023,Strand-1,,,,,,12/30/99,released,MPI,http://gwapp.gmi.oeaw.ac.at/public/plants/10023.png,CS77284
9506,IP-Alo-0,POR,,40.11,-7.47,Carlos Alonso-Blanco,00/01/2007,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9506.png,CS76662
9507,IP-Coa-0,POR,,38.45,-7.5,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9507.png,CS76775
9508,IP-Mos-1,POR,,40.04,-7.11,Carlos Alonso-Blanco,00/01/2007,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9508.png,CS77108
9509,IP-Reg-0,POR,,39.29,-7.4,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9509.png,CS77207
9510,IP-Rei-0,POR,,38.75,-7.59,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9510.png,CS77208
9511,IP-Vav-0,POR,,38.53,-8.02,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9511.png,CS78835
9512,IP-Vid-1,POR,,38.22,-7.84,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9512.png,CS78842
9513,IP-Adc-5,ESP,,38.77,-4.07,Carlos Alonso-Blanco,00/01/2003,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9513.png,CS76646
9514,IP-Adm-0,ESP,,39.15,-4.54,Carlos Alonso-Blanco,00/01/2003,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9514.png,CS76647
9515,IP-Ala-0,ESP,,39.72,-6.89,Carlos Alonso-Blanco,00/01/2007,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9515.png,CS76650
9517,IP-All-0,ESP,,42.19,-7.8,Carlos Alonso-Blanco,00/01/2007,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9517.png,CS76659
9518,IP-Alm-0,ESP,,39.88,-0.36,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9518.png,CS76660
9519,IP-Ang-0,ESP,,41.94,2.64,Xavier Picó,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9519.png,CS78886
9520,IP-Ara-4,ESP,,41.7,-3.68,Carlos Alonso-Blanco,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9520.png,CS76670
9521,IP-Bar-1,ESP,,41.43,2.13,Xavier Picó,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9521.png,CS76689
9522,IP-Bea-0,ESP,,36.52,-5.27,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9522.png,CS76695
9523,IP-Ben-0,ESP,,38.37,-2.66,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9523.png,CS76700
9524,IP-Ber-0,ESP,,42.52,-0.56,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9524.png,CS78887
9525,IP-Bis-0,ESP,,42.49,0.54,Xavier Picó,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9525.png,CS76711
9526,IP-Cab-3,ESP,,41.54,2.39,Xavier Picó,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9526.png,CS76738
9527,IP-Cad-0,ESP,,40.37,-5.74,Carlos Alonso-Blanco,00/01/2002,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9527.png,CS76739
9528,IP-Cal-0,ESP,,40.94,-1.37,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9528.png,CS78890
9529,IP-Cap-1,ESP,,36.97,-3.36,Carlos Alonso-Blanco,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9529.png,CS76741
9530,IP-Car-1,ESP,,38.25,-4.32,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9530.png,CS76742
9531,IP-Cdc-3,ESP,,41.21,-4.54,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9531.png,CS76761
9532,IP-Cdo-0,ESP,,42.23,-4.64,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9532.png,CS76762
9533,IP-Cem-0,ESP,,41.15,-4.32,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9533.png,CS76763
9534,IP-Cmo-3,ESP,,40.05,-4.65,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9534.png,CS76774
9535,IP-Coc-1,ESP,,42.31,3.19,Xavier Picó,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9535.png,CS76776
9536,IP-Cor-0,ESP,,40.83,-2,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9536.png,CS76782
9537,IP-Cum-1,ESP,,38.07,-6.66,Carlos Alonso-Blanco,00/01/2002,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9537.png,CS76787
9539,IP-Deh-1,ESP,,40.29,-6.67,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9539.png,CS76793
9540,IP-Elb-0,ESP,,41.81,2.34,Xavier Picó,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9540.png,CS76838
9541,IP-Fue-2,ESP,,38.26,-5.42,Carlos Alonso-Blanco,00/01/2003,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9541.png,CS76871
9542,IP-Fun-0,ESP,,40.79,-4.05,Carlos Alonso-Blanco,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9542.png,CS76872
9543,IP-Gra-0,ESP,,36.77,-5.39,Xavier Picó,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9543.png,CS76886
9544,IP-Gua-1,ESP,,39.4,-5.33,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9544.png,CS76894
9545,IP-Her-12,ESP,,39.4,-5.78,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9545.png,CS76920
9546,IP-Hom-4,ESP,,40.82,-1.68,Carlos Alonso-Blanco,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9546.png,CS76929
9547,IP-Hor-0,ESP,,41.67,2.62,Xavier Picó,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9547.png,CS76930
9548,IP-Hoy-0,ESP,,40.4,-5,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9548.png,CS76939
9549,IP-Hum-2,ESP,,42.23,-3.69,Carlos Alonso-Blanco,00/01/2007,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9549.png,CS76943
9550,IP-Iso-4,ESP,,43.05,-5.37,Carlos Alonso-Blanco,00/01/2007,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9550.png,CS76946
9551,IP-Jim-1,ESP,,42.28,-5.92,Carlos Alonso-Blanco,00/01/2007,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9551.png,CS76955
9552,IP-Lab-7,ESP,,40.87,-4.5,Carlos Alonso-Blanco,00/01/2007,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9552.png,CS76995
9553,IP-Ldd-0,ESP,,41.58,-4.71,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9553.png,CS77012
9554,IP-Lso-0,ESP,,38.86,-3.16,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9554.png,CS77055
9555,IP-Mar-1,ESP,,39.58,-3.93,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9555.png,CS77068
9556,IP-Men-2,ESP,,39.66,-4.34,Xavier Picó,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9556.png,CS77081
9557,IP-Moa-0,ESP,,42.46,0.7,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9557.png,CS77102
9558,IP-Moc-11,ESP,,41.57,-5.64,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9558.png,CS77103
9559,IP-Mon-5,ESP,,38.06,-4.38,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9559.png,CS77107
9560,IP-Mot-0,ESP,,38.19,-6.24,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9560.png,CS77109
9561,IP-Mun-0,ESP,,40.71,-5.04,Carlos Alonso-Blanco,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9561.png,CS77114
9562,IP-Mur-0,ESP,,41.67,2,Xavier Picó,00/01/2003,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9562.png,CS77115
9564,IP-Nog-17,ESP,,40.45,-1.6,Xavier Picó,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9564.png,CS77129
9565,IP-Orb-10,ESP,,42.97,-1.23,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9565.png,CS77152
9567,IP-Pal-0,ESP,,42.34,1.3,Xavier Picó,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9567.png,CS77159
9568,IP-Pan-0,ESP,,42.76,-0.23,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9568.png,CS77160
9569,IP-Pds-1,ESP,,42.87,-6.45,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9569.png,CS77166
9571,IP-Pro-0,ESP,,43.28,-6.01,Carlos Alonso-Blanco,00/01/2001,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9571.png,CS78914
9573,IP-Rds-0,ESP,,41.86,2.99,Xavier Picó,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9573.png,CS77206
9574,IP-Rel-0,ESP,,38.6,-2.7,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9574.png,CS77209
9576,IP-Rev-0,ESP,,40.86,-4.11,Carlos Alonso-Blanco,00/01/2007,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9576.png,CS77213
9577,IP-Ria-0,ESP,,42.34,2.17,Xavier Picó,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9577.png,CS77216
9578,IP-Sac-0,ESP,,42.13,-6.7,Carlos Alonso-Blanco,00/01/2007,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9578.png,CS77229
9579,IP-San-10,ESP,,38.33,-3.51,Carlos Alonso-Blanco,00/01/2003,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9579.png,CS77232
9581,IP-Sdv-3,ESP,,42.84,-5.12,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9581.png,CS77242
9582,IP-Ses-0,ESP,,41.48,-1.63,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9582.png,CS77244
9583,IP-Sne-0,ESP,,37.09,-3.38,Carlos Alonso-Blanco,00/01/2000,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9583.png,CS77258
9584,IP-Stp-0,ESP,,41.19,-3.58,Carlos Alonso-Blanco,00/01/2003,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9584.png,CS77283
9585,IP-Svi-0,ESP,,43.4,-7.39,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9585.png,CS77287
9586,IP-Tam-0,ESP,,41.03,-3.27,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9586.png,CS77340
9587,IP-Tdc-0,ESP,,41.5,-1.88,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9587.png,CS77344
9588,IP-Tol-7,ESP,,42.11,0.6,Xavier Picó,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9588.png,CS77371
9589,IP-Tor-1,ESP,,41.6,-2.83,Carlos Alonso-Blanco,00/01/2003,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9589.png,CS77378
9590,IP-Trs-0,ESP,,43.37,-5.49,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9590.png,CS77387
9591,IP-Vad-0,ESP,,42.86,-3.59,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9591.png,CS78826
9592,IP-Vae-2,ESP,,42.1,-5.44,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9592.png,CS78827
9593,IP-Vaz-0,ESP,,42.26,-2.99,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9593.png,CS78836
9594,IP-Vdm-0,ESP,,42.04,1.01,Carlos Alonso-Blanco,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9594.png,CS78837
9595,IP-Vdt-0,ESP,,40.89,-5.5,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9595.png,CS78838
9596,IP-Ver-5,ESP,,41.95,-7.45,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9596.png,CS78841
9597,IP-Vig-1,ESP,,42.31,-2.53,Carlos Alonso-Blanco,00/01/2003,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9597.png,CS78843
9598,IP-Vim-0,ESP,,41.88,-6.51,Carlos Alonso-Blanco,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9598.png,CS78844
9599,IP-Vin-0,ESP,,42.8,-5.77,Carlos Alonso-Blanco,00/01/2005,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9599.png,CS78846
9600,IP-Vis-0,ESP,,39.85,-6.04,Carlos Alonso-Blanco,00/01/2006,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9600.png,CS78848
9601,IP-Voz-0,ESP,,41.85,-1.88,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9601.png,CS78849
9602,IP-Vpa-1,ESP,,40.5,-3.96,Carlos Alonso-Blanco,00/01/2004,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9602.png,CS78850
9606,Aitba-1,MAR,,31.48,-7.45,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9606.png,CS76649
9607,Panik-1,RUS,,53.05,52.15,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9607.png,CS77161
9608,Karag-2,RUS,,51.37,59.44,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9608.png,CS76961
9609,Adam-1,RUS,,51.41,59.98,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9609.png,CS76645
9610,Lesno-4,RUS,,53.04,51.96,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9610.png,CS77034
9611,Lesno-1,RUS,,53.04,51.9,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9611.png,CS77032
9612,Lesno-2,RUS,,53.04,51.94,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9612.png,CS77033
9613,Balan-1,RUS,,55.36,61.41,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9613.png,CS76687
9615,Parti-1,RUS,,52.99,52.16,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9615.png,CS77163
9616,Krazo-1,RUS,,53.06,51.96,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9616.png,CS76984
9617,Karag-1,RUS,,51.37,59.44,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9617.png,CS76960
9619,Basta-1,RUS,,51.84,79.48,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9619.png,CS76691
9620,Basta-2,RUS,,51.82,79.48,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9620.png,CS76692
9621,Basta-3,RUS,,51.84,79.46,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9621.png,CS76693
9622,Bijisk-4,RUS,,52.52,85.27,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9622.png,CS76707
9624,Chaba-2,RUS,,53.6,79.37,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9624.png,CS76767
9625,Kolyv-2,RUS,,51.31,82.59,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9625.png,CS76977
9626,Kolyv-3,RUS,,51.36,82.59,0,12/30/99,done,Monsanto,http://gwapp.gmi.oeaw.ac.at/public/plants/9626.png,CS76978
