id,FT10_mean,FT10_sd,FT16_mean,FT16_sd,seq_by,name,country,sitename,latitude,longitude,collector,collectiondate,CS_number,group,relict,icon
5822,112.75,7.1355915429,111,7.071067812,Monsanto,UKID116,UK,Ardtoe,56.7333,-5.98333,Eric Holub,1995-01-01 00:00:00,CS78780,admixed,,forbidden
5829,66.75,11.7295922066,53.66666667,2.081665999,,Ale1-2,SWE,Ale1,55.38383,14.06125,Magnus Nordborg,2000-06-01 00:00:00,,,,
5830,97.75,1.7078251277,75.33333333,6.658328118,GMI,App1-12,SWE,App1,56.3333,15.9667,Magnus Nordborg,2000-06-13 00:00:00,CS76667,south_sweden,,red_circle
5831,99.5,6.3508529611,93,8.679477711,GMI,App1-14,SWE,App1,56.3333,15.9667,Magnus Nordborg,2000-06-13 00:00:00,CS76668,south_sweden,,red_circle
5832,88.5,4.5092497528,87.33333333,3.511884584,GMI,App1-16,SWE,App1,56.3333,15.9667,Magnus Nordborg,2000-06-13 00:00:00,CS76669,south_sweden,,red_circle
5835,73,5.7154760665,43.5,5.066228051,,Bil-3,SWE,Bil,63.324,18.484,Magnus Nordborg,2000-06-25 00:00:00,,,,
5837,80.5,10.7857931249,55.25,1.5,Salk,Bor-1,CZE,Bor,49.4013,16.2326,Jirina Relichov,2000-05-31 0:00:00,CS76453,central_europe,,ylw_circle
5856,119,18.3847763109,NA,NA,GMI,Dör-10,SWE,Dör,63.0167,17.4914,Magnus Nordborg,2000-06-25 00:00:00,CS76806,north_sweden,,orange_circle
5865,109.75,8.0570879768,101,3,GMI,Dra1-4,SWE,Dra1,55.76,14.12,Magnus Nordborg,2000-06-01 0:00:00,CS76809,south_sweden,,red_circle
5867,130.5,1,NA,NA,GMI,Dra2-1,SWE,Dra2,55.76,14.12,Magnus Nordborg,2000-06-01 00:00:00,CS76810,south_sweden,,red_circle
5874,78,4.9665548086,69.25,6.652067348,Monsanto,DraII-6,CZE,DraII,49.4112,16.2815,Jirina Relichov,2000-05-31 00:00:00,CS76814,central_europe,,ylw_circle
5890,78.25,5.6199051,55.25,3.201562119,Monsanto,DraIV 1-8,CZE,DraIV 1,49.4112,16.2815,Jirina Relichov,2004-01-01 00:00:00,CS76817,central_europe,,ylw_circle
5893,73.75,6.0207972894,64.25,4.11298756,Monsanto,DraIV 1-11,CZE,DraIV 1,49.4112,16.2815,Jirina Relichov,2004-01-01 00:00:00,CS76816,central_europe,,ylw_circle
5907,66.5,3.8729833462,48.5,3.109126351,Monsanto,DraIV 2-9,CZE,DraIV 2,49.4112,16.2815,Jirina Relichov,2004-01-01 00:00:00,CS76818,central_europe,,ylw_circle
5921,82.5,6.5574385243,55.75,1.707825128,Monsanto,DraIV 3-7,CZE,DraIV 3,49.4112,16.2815,Jirina Relichov,2004-01-01 00:00:00,CS76819,central_europe,,ylw_circle
5950,81.25,4.2720018727,65.5,4.725815626,Monsanto,DraIV 5-12,CZE,DraIV 5,49.4112,16.2815,Jirina Relichov,2004-01-01 00:00:00,CS76820,central_europe,,ylw_circle
5964,72.5,3.7859388972,56.5,2.645751311,,DraIV 5-28,CZE,DraIV 5,49.4112,16.2815,Jirina Relichov,2004-01-01 00:00:00,,,,
5984,66.75,3.5939764421,41.75,2.217355783,Monsanto,DraIV 6-13,CZE,DraIV 6,49.4112,16.2815,Jirina Relichov,2004-01-01 00:00:00,CS76822,central_europe,,ylw_circle
5993,82.5,9.7467943448,64.75,1.707825128,Monsanto,DraIV 6-22,CZE,DraIV 6,49.4112,16.2815,Jirina Relichov,2004-01-01 00:00:00,CS76823,central_europe,,ylw_circle
6008,73.5,2.3804761428,43,0.816496581,Salk,Duk,CZE,Duk,49.1,16.2,Jirina Relichov,2000-05-31 0:00:00,CS76824,central_europe,,ylw_circle
6009,103,11.6332855777,113.5,0.707106781,GMI,Eden-1,SWE,Eden,62.877,18.177,Magnus Nordborg,2000-06-25 00:00:00,CS76826,north_sweden,,orange_circle
6011,97.3333333333,5.1316014394,112.5,12.02081528,GMI,Eden-6,SWE,Eden,62.877,18.177,Magnus Nordborg,2000-06-25 0:00:00,CS76828,north_sweden,,orange_circle
