"","id","latitude.x","longitude.x","kgroup","X6.5","X14.5","X18.5","X20.5","X22.5","X25.5","X27.5","X29.5","X32.5","X34.5","X36.5","X39.5","X42.5","X47.5","X49.5","X53.5","X57.5","X62.5","X69.5","peakday","peakvalue","endday","endvalue","lm.r","lm.a","lm.b","exp.r","exp.a","exp.b","pol.r","pol.a","pol.b","pol.c","pol.d"
"31",6911,15.1111,-23.6167,5,2019.57142857143,12779.2857142857,30892.2857142857,44960.8571428571,59990.1428571429,97035.2857142857,108662.571428571,127081.714285714,132881.285714286,131571.714285714,134688.571428571,129959.285714286,99169.5714285714,44069.7142857143,24120,6015.14285714286,3016.42857142857,1047.42857142857,9.14285714285714,37.2142857142857,152645.285714286,69.5,9.14285714285714,0.595666548180473,297893.482151574,-4858.49641262365,0.855055974817707,27.6812796245362,-0.403659712650855,0.887492960091901,1581948.27815584,-66847.9421740911,922.360227396313,-4.13923865827192
"32",6915,50.3,6.3,9,5336.33333333333,25105.3333333333,74190.3333333333,106301.666666667,141692.666666667,186623.333333333,215190.666666667,227184.333333333,243169,215307.666666667,187554.666666667,129644.666666667,80882,25941.3333333333,22746,4905,642.333333333333,282.666666666667,12.3333333333333,34.8333333333333,243772.333333333,69.5,12.3333333333333,0.640371109804238,396235.759404713,-6632.22383863616,0.920841608327515,25.3629567639323,-0.346833464592235,0.980528001447767,3588631.46449902,-179005.751234747,2964.41894919841,-16.2876478337038
"33",6929,38.48,68.49,7,1753.75,4359.5,13203.75,17975.75,29658.25,69923.75,92283.25,112902.5,127586.25,140663,151523,158487.25,151500.5,81344,48749.25,28850.5,13110.5,3093,NA,43,170781,67.75,3072.5,0.73704380679216,458480.319266579,-7353.64941737591,0.884746888640583,29.2952937795809,-0.397356629640608,NA,2242524.59506957,-87462.8366352757,1098.71161541337,NA
"34",6938,55.7522,37.6322,7,2099,11860.2,39106.6,56591.8,69605,107369.8,131292.6,143207.8,153519.4,163591.6,168775.4,179917.6,170132.6,107828,92983.6,58158.4,32689.8,9138,4163.6,42.1,193297.8,69.5,4163.6,0.797327639313835,480401.980101839,-7424.46134010893,0.902433058255427,21.2302959697967,-0.208199353710534,0.956834362334895,-2962233.64326589,184247.413148924,-3555.68219887667,21.8613019637106
"35",6940,50.3,8.3,9,2046.33333333333,8878,26658.8333333333,35346.3333333333,45756.1666666667,53351.8333333333,61865.6666666667,64396.6666666667,54234,59365.3333333333,69460.5,62251.3333333333,51886.5,30499.1666666667,24855,11431.8333333333,4718.16666666667,1966.16666666667,226.333333333333,29.6666666666667,82563,69.5,226.333333333333,0.811501992253785,144859.968492855,-2289.35449013005,0.774743058549054,17.5201954192195,-0.178748872612271,0.911193823536142,191341.470909574,-1344.17188510619,-91.8190787752292,1.03015801084749
"36",6945,52.24,4.45,9,2799.42857142857,8345,28128.2857142857,42656,64513.2857142857,101248.714285714,122921,157141.857142857,185158.285714286,196714.714285714,200852.714285714,195349.857142857,145271.571428571,63965.2857142857,34165,13078.1428571429,4076.42857142857,2111.14285714286,68.4285714285714,36.9285714285714,206719.142857143,69.5,68.4285714285714,0.703613671215327,427817.632467856,-6952.09238283432,0.884800948539527,25.3396874517199,-0.328591879991494,0.917319085301698,1386873.36463935,-44794.7696380263,362.288227131349,-0.0534041784867022
"37",6958,46,3.3,9,3931.5,25272.75,53955,54578,72089.75,77278,85682.75,78371.5,95260.75,98997.25,102175,107999.5,75047.75,42245.75,36982,15270,6848.25,1540.5,NA,28,128589.75,67.75,1025.25,0.509754803948498,207021.278315216,-3246.52350383334,0.548933837168657,17.8619144968727,-0.181719182994346,0.7828827597814,1228975.26795863,-60113.0528060085,1033.59812349028,-6.18799920751426
"38",6961,38.3333,-3.53333,10,2319,10812.25,30504.75,41858.5,65330,115492.5,131950.5,153856.25,190798,197894.75,204375.25,190380.5,152514.75,25189.5,16623,4994.5,2311.75,1526.75,242,37.5,207521.25,69.5,242,0.586472849814987,404955.880464802,-6665.90998388847,0.917372649833247,22.4662984841387,-0.261762980758364,0.892571086256939,3614663.28151771,-169450.111450675,2625.65356862275,-13.4543148433601
"39",6963,38.35,68.48,7,3463.25,11878.25,30449.5,54632.5,84756.75,119578.5,137015.75,180508.25,178365.25,155631.5,164609,137606.5,96812,7042.25,5255.25,595.75,161.25,13.75,NA,31.25,184200.75,67.75,8.75,0.720625341959589,355598.030260729,-6074.08019012869,0.884692261539413,23.8519358980559,-0.333686016130558,0.893292326299264,249805.301305219,16487.3413376916,-794.643695123546,7.44036534723551
"40",6979,47.25,8.26,2,1265.4,6659.2,21290.8,30960.2,39228.6,46252.6,50918.8,57892.2,48830.2,45916.4,49281.2,45308.8,33744.8,12950.2,8165.2,1105.2,109.4,131.4,52.6,33.7,64751.6,69.5,52.6,0.645986478410287,113118.857906987,-1868.59823638909,0.806131252658401,20.4051404899859,-0.259751702375143,0.816427792162899,116447.524726567,1108.0010096433,-127.759381723941,1.26705730635961
"41",6987,48.0683,7.62551,9,2223.83333333333,9606.16666666667,27286,40547,61593.5,74561.8333333333,88325.5,91537.3333333333,104229.666666667,108566,112000.833333333,112752.666666667,91286.3333333333,40567.8333333333,21219,2760,734.666666666667,441.333333333333,112.333333333333,37,120373.666666667,69.5,112.333333333333,0.66147882507599,245469.100035011,-3994.28755382165,0.86193384291033,22.6579579058577,-0.283125767930486,0.9254901353306,1626201.00057026,-68299.5705784265,927.532989985803,-4.04119618497728
"42",7000,50.9167,9.57073,9,1974,11907.4285714286,31241.4285714286,46055.4285714286,66865.2857142857,100400.571428571,109391,118451.428571429,125842.285714286,128005,130857.142857143,121011.285714286,97107.7142857143,19943.8571428571,12006.1428571429,2343.42857142857,1443.14285714286,920.285714285714,231.142857142857,32.2142857142857,135275,69.5,231.142857142857,0.643484578456757,280545.397341617,-4632.92381121205,0.871935404363658,20.9223876786785,-0.277281255508726,0.863903478293223,431626.27080509,-2692.4928540785,-262.044260168209,3.06267663118119
"43",7002,51.3333,6.1,9,1932.5,15496.875,37798.625,NA,72665.125,90650.875,124851,129515.75,151035.625,160601.875,167630,162764.75,131641.75,60006.5,44177.375,16702.25,6028,4264.625,NA,35.75,179594,68.625,694.5,0.589101645967085,370078.341461733,-6019.22925909782,0.794604776955994,22.0405554752599,-0.256293909074839,0.851043021740905,2118738.42961622,-88529.8033779295,1195.25728636032,-5.12144088107244
