pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num,i.pred,r.pred,pred
../data/field_tuebingen_harvesting/2016_09_15/P1200969.JPG,tuebingen,544935,87054,5545,631,2017-07-17_11:09:46,265,c3,i,i,NA,0.816,0.184,r
../data/field_tuebingen_harvesting/2016_09_21/P1200503.JPG,tuebingen,48245,11618,287,63,2017-07-17_11:28:40,79,b6,i,i,NA,0.822,0.178,r
../data/field_tuebingen_harvesting/2016_09_21/P1210255.JPG,tuebingen,58888,10764,190,109,2017-07-17_11:29:04,83,d3,i,i,NA,0.824,0.176,r
../data/field_tuebingen_harvesting/2016_09_21/P1210282.JPG,tuebingen,83031,15900,514,74,2017-07-17_11:29:47,83,b6,r,i,NA,0.168,0.832,i
../data/field_tuebingen_harvesting/2016_09_21/P1210333.JPG,tuebingen,171108,35548,4498,85,2017-07-17_11:31:20,82,d8,i,i,NA,0.822,0.178,r
../data/field_tuebingen_harvesting/2016_09_21/P1210545.JPG,tuebingen,270582,38856,1263,236,2017-07-17_12:14:52,274,d7,i,i,NA,0.824,0.176,r
../data/field_tuebingen_harvesting/2016_09_21/P1210573.JPG,tuebingen,316406,56933,3629,350,2017-07-17_12:16:21,261,b3,i,i,NA,0.806,0.194,r
../data/field_tuebingen_harvesting/2016_09_22/P1210766.JPG,tuebingen,121085,22863,541,74,2017-07-17_12:22:51,92,b6,r,i,NA,0.186,0.814,i
../data/field_tuebingen_harvesting/2016_09_22/P1210788.JPG,tuebingen,212592,41111,2841,141,2017-07-17_12:23:37,94,c4,r,i,NA,0.186,0.814,i
../data/field_tuebingen_harvesting/2016_09_22/P1210899.JPG,tuebingen,195342,37618,1986,123,2017-07-17_12:27:37,279,d7,r,i,NA,0.184,0.816,i
../data/field_tuebingen_harvesting/2016_09_22/P1210921.JPG,tuebingen,201545,35645,1569,79,2017-07-17_12:28:34,280,b3,r,i,NA,0.178,0.822,i
../data/field_tuebingen_harvesting/2016_09_22/P1210979.JPG,tuebingen,235444,42194,2267,237,2017-07-17_12:33:34,90,b2,r,i,NA,0.176,0.824,i
../data/field_tuebingen_harvesting/2016_09_28/P1220114.JPG,tuebingen,125731,24002,724,72,2017-07-17_12:38:35,292,b6,r,i,NA,0.168,0.832,i
