tg_ecotypeid name country latitude longitude seq_by neanderthal
7202 Kb-0 GER 50.1797 8.50861 Salk NO
7203 Krot-0 GER 49.631 11.5722 Salk NO
7207 Kyoto JPN 35.0085 135.752 Salk NO
7208 Lan-0 UK 55.6739 -3.78181 Salk NO
7209 La-0 POL 52.7333 15.2333 Salk NO
7213 Ler-0 GER 47.984 10.8719 Mott NO
7217 Lm-2 FRA 48 0.5 Salk NO
7218 Le-0 NED 52.1611 4.49015 Salk NO
7223 Li-2:1 GER 50.3833 8.0666 Salk NO
7231 Li-7 GER 50.3833 8.0666 Monsanto NO
7236 Litva LTU NA NA Salk NO
7244 Mnz-0 GER 50.001 8.26664 Salk NO
7248 Mv-0 USA 41.3923 -70.6652 Salk NO
7250 Me-0 GER 51.9183 10.1138 Salk NO
7255 Mh-0 POL 50.95 7.5 Salk NO
7258 Nw-0 GER 50.5 8.5 Salk NO
7268 Np-0 GER 52.6969 10.981 Salk NO
7273 No-0 GER 51.0581 13.2995 Mott NO
7276 Ob-0 GER 50.2 8.5833 Salk NO
7280 Old-1 GER 53.1667 8.2 Salk NO
7282 Or-0 GER 50.3827 8.01161 Salk NO
7287 Ove-0 GER 53.3422 8.42255 Salk NO
7288 Oy-0 NOR 60.385543 6.193019 Mott NO
7296 Petergof RUS 59 29 Monsanto NO
7298 Pi-0 AUT 47.04 10.51 Salk NO
7305 Pt-0 GER 53.476 10.6065 Salk NO
7306 Pog-0 CAN 49.2655 -123.206 Salk NO
7307 Pn-0 FRA 48.0653 -2.96591 Monsanto NO
7314 Ragl-1 UK 54.3512 -3.41697 Salk NO
7316 Rhen-1 NED 51.9667 5.56667 Salk NO
7319 Rome-1 ITA 42 12.1 Salk NO
7320 Rou-0 FRA 49.4424 1.09849 Salk NO
7322 Rsch-4 RUS 56.3 34 Mott NO
7323 Rubezhnoe-1 UKR 49 38.28 Salk NO
7327 Sf-1 ESP 41.7833 3.03333 Salk NO
7328 Sf-2 ESP 41.7833 3.03333 Mott NO
7332 Seattle-0 USA 47 -122.2 Salk NO
7333 Sei-0 ITA 46.5438 11.5614 Salk NO
7337 Si-0 GER 50.8738 8.02341 Salk NO
7342 Su-0 UK 53.6473 -3.00733 Salk NO
7343 Sp-0 GER 52.5339 13.181 Salk NO
7344 Sg-1 GER 47.6667 9.5 Salk NO
7346 Ste-0 GER 52.6058 11.8558 Monsanto NO
7347 Stw-0 RUS 52 36 Salk NO
7349 Ta-0 CZE 49.5 14.5 Salk NO
7350 Tac-0 USA 47.2413 -122.459 Salk NO
7353 Tha-1 NED 52.08 4.3 Salk NO
7354 Ting-1 SWE 56.5 14.9 Salk NO
7356 Tol-0 USA 41.6639 -83.5553 Salk,MPI NO
7358 Tol-2 USA 41.6639 -83.5553 MPI NO
7359 Tol-3 USA 41.6639 -83.5553 MPI NO
7372 Tscha-1 AUT 47.0748 9.9042 Salk NO
7373 Tsu-0 JPN 34.43 136.31 Mott NO
7377 Tul-0 USA 43.2708 -85.2563 Salk NO
7378 Uk-1 GER 48.0333 7.7667 Salk NO
7382 Utrecht NED 52.0918 5.1145 Salk NO
7383 Van-0 CAN 49.2655 -123.206 Salk NO
7384 Ven-1 NED 52.0333 5.55 Salk NO
7387 Vind-1 UK 54.9902 -2.3671 Salk NO
7394 Wa-1 POL 52.3 21 Salk NO
7396 Ws-0 RUS 52.3 30 Mott NO
7404 Wc-1 GER 52.6 10.0667 Salk NO
7411 Wl-0 GER 47.9299 10.8134 Salk NO
7413 Wil-2 LTU 54.6833 25.3167 Mott NO
